card_number,card_name,keywords_on_card
1606,Urgent Contract,Execute; GOLD
1607,Vampirism,Add; Bleeding; Bloodlust; Lifedrain; other(status)Bleeding
1608,Vanish,Ambush; Charges; Reset
1609,Vanquish,Execute; HEALTH; myMissingHealth; Remove; Scar
1610,Vault,Dazed
1611,Vengeful Assault,Basic Attack; If HOLY
1612,Venomancing,Basic Attacks; Poison
1613,Vexing Echo 1,Corruption
1614,Vexing Echo 2,Cursed
1615,Vexing Echoes,Choose; Conjure; Corruption OR; Cursed
1616,Vexing Presence,Charmed; End; Inflict; Jinxed; Turn
1617,Vigil,Virtues
1618,Vigorating Strike,Deep Wound; On Hit
1619,Vile Blast,Afflictions; Cursed; otherAfflictions; Repeat; tempValue
1620,Vile Sacrifice,Ascend; Corrupted; Defiled; Destroy
1621,Vile Skewer,Inflict Bleeding; Poison
1622,Vile Thoughts,Afflictions; Channel; INT; Magic Actions
1623,Vile Voracity,Defiled
1624,Vile Wound,Bleeding; One Use; Take
1625,Violent Impulses,Basic Attack; Delve; Melee Action
1626,Vipers Touch,Charmed; Double; Inflict; other(status)Charmed; Poison
1627,Visceral Blow,HEALTH; myCurrentHealth; Reduce
1628,Vision of Mercy,Charmed; damageBonus+1; HOLY; Inflict; Repeat; Upgradeable
1629,Vital Essence,Grounded; Maximum HEALTH; One Use
1630,Vital Strike,Lifedrain; Melee
1631,Vitalize,Basic Attack; HEALTH; Momentum
1632,Vodou,Effigy; Enchantment; HEALTH; Imbue; Maximum HEALTH; myMaxHealth/10; Remove; Requires; Slay
1633,Vodou Mask,Activate; Durability; Memorized; Perform; Performance; Ritual
1634,Void Armor,Armor; permaValue; Waning Defiled
1635,Void Lance,Rampage
1636,Voidcast,Attunement; Delve; Magic Action
1637,Vow of Vengeance,Charges; Delve; Oath; Take
1638,Vulture Soul,Ferocity; Poison
1639,Waning Whimsy,Jinxed
1640,Warchest,Equipment; GOLD; Pay; Turn
1641,Warp Steel,Basic Attack; Convert; Hexglaive; One Use
1642,Warpaint,Fury; Memorized; Shuffle
1643,Warping Presence,Condemnation
1644,Warrior's Locket,Anger; Gain STR; STR; While
1645,Washed Ashore,Change; Clone; Summon; Tide
1646,Wasteful Whimsy,Do Nothing
1647,Wasteland,Grounded; Nothing; Persistent
1648,Watchful Whimsy,Evasion
1649,Watershaping,Clone; Persistent; Summon
1650,Watershaping,Clones; Persistent; Summon
1651,Waterwall,Clones; clones; During
1652,Wave of Light,Affliction; Cleanse; Regenerate
1653,Wavebreaker,Clones; clones; Repeat
1654,Way of the Wise,Barrier; Focus
1655,Waylay,Ambush; Conjure; Sinister
1656,Weapon Sense,Basic Attack; Enter Adaptive; Make; Stance
1657,Weathercast,Delve; Tidal
1658,Weathered Hide,Junk; Resilience
1659,Whirling Strikes,Basic Attack; basicsPlayed; Make; Repeat
1660,Whirlpool,Drowning; Inflict; Persistent; Tidal
1661,Whirlpool,Drowning; Inflict; Persistent; Tidal
1662,Whistle,Activate; Command; Durability
1663,Wicked Glare,Defiled; Hex; Inflict; Remove; VOID; VOIDVOID
1664,Wicker Crux,Cursed; Delve; Doom; Hex; Inflict
1665,Wild Alchemy,Charges; Conjure; Potions
1666,Wild Storm,Conjure; Zap
1667,Wild Strike,Fury; On Hit
1668,Wild Surge,STR
1669,Wildshape,Charges; Memorized; Shift
1670,Wildshift,Shift
1671,Will of the Jungle,Companion; Delve
1672,Winged Strike,Flanking; Temporary; Upgrade
1673,Winsome Whimsy,Charmed
1674,Winter Harvest,Critical Hit; Deals; Frozen; other(status)Frozen
1675,Wired Pin,Evasion; Maximum HEALTH; otherMaxHealth/20; Persistent; Steal; They
1676,Wishful Whimsy,
1677,Witching Hour,Cursed; Increases; Potency; tempValue+1
1678,Wither (Companion),Advantage; Affliction; companionlevel; Decay; Gain HEALTH; Inflict
1679,Withering Touch,Inflict; Poison; Synergy; tempValue+1
1680,Witness True Evil,Add; corruptionCards; Corruptions; Vile Wound
1681,Word of Purity,Affliction; Blessings; Cleanse; HEALTH; myBlessings
1682,Workshop,Memorized; Snare
1683,Worldbreaker,Can; Double; On Draw; tempValue+1
1684,Wounded Hunter,
1685,Wrath,Unplayable
1686,Wrathbolt,
1687,Wrathful Whimsy,HEALTH
1688,X,Treasure Map
1689,Yardsale,Next; Scavenge; Scrap Pile
1690,Zap,Chain
1691,Zealous Rebuke,Zeal
1692,Zen Archery,Arrow; Conjure; Focus
